|                                                                fullyQualifiedName                                                                |      pattern       |
| org.apache.hadoop.hdfs.DistributedFileSystem$PartialListingIterator.next                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.append                                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.appendFile                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.batchedListLocatedStatusIterator                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.batchedListStatusIterator                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.createNonRecursive                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.getTrashRoots                                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.DistributedFileSystem.listStatusInternal                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.ErasureCodeBenchmarkThroughput.doBenchmark                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.ExtendedBlockId.equals                                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.ExtendedBlockId.hashCode                                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.FileAppendTest4.testAppend                                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.HAUtil.getConfForOtherNodes                                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.HAUtil.getProxiesForAllNameNodesInNameservice                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.HAUtil.isAtLeastOneActive                                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.LogVerificationAppender.append                                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.addFileSystem                                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.configureNameNodes                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.createPermissionsDiagnosisString                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.getAllBlockFiles                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.getAllBlockMetadataFiles                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.getAllBlockReports                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.getDataNodes                                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.getNNIndexes                                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.makeDataNodeDirs                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.restartDataNode                                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSCluster.startDataNodes                                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSClusterWithNodeGroup.startDataNodes                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSNNTopology$NSConf.addNN                                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.MiniDFSNNTopology.addNameservice                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.NNBench.createControlFiles                                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.ParameterizedTestDFSStripedOutputStreamWithFailure.data                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.ReadStripedFileWithDecodingHelper.getParameters                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.StripedFileTestUtil.checkData                                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.StripedFileTestUtil.getECPolicies                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.StripedFileTestUtil.verifyLocatedStripedBlocks                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendDifferentChecksum.appendWithTwoFs                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendDifferentChecksum.testAlgoSwitchRandomized                                                                      | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$DirWorker.checkSnapshot                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$DirWorker.createSnapshot                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$DirWorker.deleteSnapshot                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$FileWorker.append                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$FileWorker.call                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$FileWorker.checkFullFile                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$FileWorker.truncate                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$FileWorker.truncateArbitrarily                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestAppendSnapshotTruncate$FileWorker.truncateToBlockBoundary                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.getListings                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.listDirsAndEmpty                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.listDoesNotExist                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.listLocatedStatus                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.listOneFile                                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.listSamePaths                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.listSomeDoNotExist                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.listTooManyDirectories                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestBatchedListDirectories.loadData                                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestBlockStoragePolicy.testChooseSsdOverDisk                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.TestBlockStoragePolicy.testChooseTargetWithTopology                                                                       | unbound-collection |
| org.apache.hadoop.hdfs.TestBlockStoragePolicy.testGetAllStoragePoliciesFromFs                                                                    | unbound-collection |
| org.apache.hadoop.hdfs.TestBlockTokenWrappingQOP.testAppendWrappingQOP                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.TestClientProtocolForPipelineRecovery.testGetNewStamp                                                                     | unbound-collection |
| org.apache.hadoop.hdfs.TestClientProtocolForPipelineRecovery.testPipelineRecoveryOnDatanodeUpgrade                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestClientProtocolForPipelineRecovery.testPipelineRecoveryOnOOB                                                           | unbound-collection |
| org.apache.hadoop.hdfs.TestClientProtocolForPipelineRecovery.testPipelineRecoveryOnRemoteDatanodeUpgrade                                         | unbound-collection |
