|                                                                            dimensionalCodeFragment                                                                            |   pattern    |
| org.apache.ignite.IgniteLogger.warning                                                                                                                                        | compute-sync |
| org.apache.ignite.IgniteSystemProperties.getBoolean                                                                                                                           | compute-sync |
| org.apache.ignite.IgniteSystemProperties.getInteger                                                                                                                           | compute-sync |
| org.apache.ignite.IgniteSystemProperties.getLong                                                                                                                              | compute-sync |
| org.apache.ignite.IgniteSystemProperties.getString                                                                                                                            | compute-sync |
| org.apache.ignite.IgniteSystemProperties.snapshot                                                                                                                             | compute-sync |
| org.apache.ignite.IgniteTransactions.metrics                                                                                                                                  | compute-sync |
| org.apache.ignite.IgniteTransactions.tx                                                                                                                                       | compute-sync |
| org.apache.ignite.IgniteTransactions.txStart                                                                                                                                  | compute-sync |
| org.apache.ignite.Ignition.allGrids                                                                                                                                           | compute-sync |
| org.apache.ignite.Ignition.ignite                                                                                                                                             | compute-sync |
| org.apache.ignite.Ignition.start                                                                                                                                              | compute-sync |
| org.apache.ignite.Ignition.wrapToProxy                                                                                                                                        | compute-sync |
| org.apache.ignite.Ignition.wrapToProxyIfNeeded                                                                                                                                | compute-sync |
| org.apache.ignite.IgnitionListener.onStateChange                                                                                                                              | compute-sync |
| org.apache.ignite.ShutdownPolicy.index                                                                                                                                        | compute-sync |
| org.apache.ignite.binary.BinaryBasicIdMapper.isLowerCase                                                                                                                      | compute-sync |
| org.apache.ignite.binary.BinaryBasicNameMapper.<obinit>                                                                                                                       | compute-sync |
| org.apache.ignite.binary.BinaryBasicNameMapper.isSimpleName                                                                                                                   | compute-sync |
| org.apache.ignite.binary.BinaryIdMapper.fieldId                                                                                                                               | compute-sync |
| org.apache.ignite.binary.BinaryIdMapper.typeId                                                                                                                                | compute-sync |
| org.apache.ignite.binary.BinaryNameMapper.fieldName                                                                                                                           | compute-sync |
| org.apache.ignite.binary.BinaryNameMapper.typeName                                                                                                                            | compute-sync |
| org.apache.ignite.binary.BinaryObject.deserialize                                                                                                                             | compute-sync |
| org.apache.ignite.binary.BinaryRawReader.readBoolean                                                                                                                          | compute-sync |
| org.apache.ignite.binary.BinaryRawReader.readInt                                                                                                                              | compute-sync |
| org.apache.ignite.binary.BinaryRawReader.readLong                                                                                                                             | compute-sync |
| org.apache.ignite.binary.BinaryRawReader.readString                                                                                                                           | compute-sync |
| org.apache.ignite.binary.BinaryRawReader.readUuid                                                                                                                             | compute-sync |
