|                                                                              dimensionalCodeFragment                                                                               |    pattern    |
| org.apache.ignite.compatibility.persistence.PersistenceBasicCompatibilityTest$TestExternalizable.writeExternal                                                                     | compute-cross |
| org.apache.ignite.compatibility.testframework.junits.IgniteCompatibilityAbstractTest.startGrid                                                                                     | compute-cross |
| org.apache.ignite.compatibility.testframework.junits.IgniteCompatibilityNodeRunner.main                                                                                            | compute-cross |
| org.apache.ignite.compatibility.testframework.junits.IgniteCompatibilityNodeRunner.readClosureFromFileAndDelete                                                                    | compute-cross |
| org.apache.ignite.compatibility.testframework.junits.IgniteCompatibilityNodeRunner.storeToFile                                                                                     | compute-cross |
| org.apache.ignite.compatibility.testframework.util.MavenUtils.exec                                                                                                                 | compute-cross |
| org.apache.ignite.compatibility.testframework.util.MavenUtils.mavenProjectRepositories                                                                                             | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterArguments.parsePageIds                                                                                                       | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterArgumentsTest.testCorruptedPagesFile                                                                                         | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterArgumentsTest.testDefault                                                                                                    | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterArgumentsTest.testParse                                                                                                      | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterArgumentsTest.testParsePageIdsFile                                                                                           | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterArgumentsTest.testParsePagesArgument                                                                                         | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterTest.testIgniteWalConverterWithBrokenWal                                                                                     | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterTest.testIgniteWalConverterWithUnreadableWal                                                                                 | compute-cross |
| org.apache.ignite.development.utils.IgniteWalConverterTest.testPages                                                                                                               | compute-cross |
| org.apache.ignite.dump.DumpReader.run                                                                                                                                              | compute-cross |
| org.apache.ignite.examples.misc.client.memcache.MemcacheRestExample.main                                                                                                           | compute-cross |
| org.apache.ignite.examples.misc.client.memcache.MemcacheRestExample.startMemcachedClient                                                                                           | compute-cross |
| org.apache.ignite.examples.opencensus.OpenCensusMetricsExporterExample.main                                                                                                        | compute-cross |
| org.apache.ignite.examples.streaming.wordcount.StreamWords.main                                                                                                                    | compute-cross |
| org.apache.ignite.examples.streaming.wordcount.socket.WordsSocketStreamerClient.main                                                                                               | compute-cross |
| org.apache.ignite.examples.util.DbH2ServerStartup.main                                                                                                                             | compute-cross |
| org.apache.ignite.internal.ConcurrentMappingFileReadWriteTest.testRewriteOpenedFile                                                                                                | compute-cross |
| org.apache.ignite.internal.GridEventConsumeHandler$EventWrapper.readExternal                                                                                                       | compute-cross |
| org.apache.ignite.internal.GridEventConsumeHandler$EventWrapper.writeExternal                                                                                                      | compute-cross |
| org.apache.ignite.internal.GridEventConsumeHandler.readExternal                                                                                                                    | compute-cross |
| org.apache.ignite.internal.GridEventConsumeHandler.writeExternal                                                                                                                   | compute-cross |
| org.apache.ignite.internal.GridJobContextImpl.readExternal                                                                                                                         | compute-cross |
| org.apache.ignite.internal.GridJobContextImpl.writeExternal                                                                                                                        | compute-cross |
| org.apache.ignite.internal.GridJobSiblingImpl.readExternal                                                                                                                         | compute-cross |
| org.apache.ignite.internal.GridJobSiblingImpl.writeExternal                                                                                                                        | compute-cross |
| org.apache.ignite.internal.GridKernalContextImpl.readExternal                                                                                                                      | compute-cross |
| org.apache.ignite.internal.GridKernalContextImpl.writeExternal                                                                                                                     | compute-cross |
| org.apache.ignite.internal.GridLoggerProxy.readExternal                                                                                                                            | compute-cross |
| org.apache.ignite.internal.GridLoggerProxy.writeExternal                                                                                                                           | compute-cross |
| org.apache.ignite.internal.GridMessageListenHandler.readExternal                                                                                                                   | compute-cross |
| org.apache.ignite.internal.GridMessageListenHandler.writeExternal                                                                                                                  | compute-cross |
| org.apache.ignite.internal.GridMultipleVersionsDeploymentSelfTest$GridDeploymentTestJob.execute                                                                                    | compute-cross |
| org.apache.ignite.internal.GridTaskNameHashKey.readExternal                                                                                                                        | compute-cross |
| org.apache.ignite.internal.GridTaskNameHashKey.writeExternal                                                                                                                       | compute-cross |
| org.apache.ignite.internal.GridTopic$T1.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.GridTopic$T1.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.GridTopic$T2.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.GridTopic$T2.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.GridTopic$T3.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.GridTopic$T3.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.GridTopic$T4.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.GridTopic$T4.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.GridTopic$T5.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.GridTopic$T5.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.GridTopic$T6.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.GridTopic$T6.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.GridTopic$T7.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.GridTopic$T7.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.GridTopic$T8.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.GridTopic$T8.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.IgniteClientReconnectAbstractTest$TestTcpDiscoverySpi.writeToSocket                                                                                     | compute-cross |
| org.apache.ignite.internal.IgniteClientRejoinTest$DiscoverySpi.openSocket                                                                                                          | compute-cross |
| org.apache.ignite.internal.IgniteClientRejoinTest$DiscoverySpi.writeToSocket                                                                                                       | compute-cross |
| org.apache.ignite.internal.IgniteComputeImpl.readExternal                                                                                                                          | compute-cross |
| org.apache.ignite.internal.IgniteComputeImpl.writeExternal                                                                                                                         | compute-cross |
| org.apache.ignite.internal.IgniteDiagnosticMessage$TxEntriesInfoClosure.writeObject                                                                                                | compute-cross |
| org.apache.ignite.internal.IgniteDiscoveryMassiveNodeFailTest$FailDiscoverySpi.writeToSocket                                                                                       | compute-cross |
| org.apache.ignite.internal.IgniteEventsImpl.readExternal                                                                                                                           | compute-cross |
| org.apache.ignite.internal.IgniteEventsImpl.writeExternal                                                                                                                          | compute-cross |
| org.apache.ignite.internal.IgniteExplicitImplicitDeploymentSelfTest$GridDeploymentResourceTestJob.execute                                                                          | compute-cross |
| org.apache.ignite.internal.IgniteKernal.readExternal                                                                                                                               | compute-cross |
| org.apache.ignite.internal.IgniteKernal.writeExternal                                                                                                                              | compute-cross |
| org.apache.ignite.internal.IgniteMessagingImpl.readExternal                                                                                                                        | compute-cross |
| org.apache.ignite.internal.IgniteMessagingImpl.writeExternal                                                                                                                       | compute-cross |
| org.apache.ignite.internal.IgniteProperties.readProperties                                                                                                                         | compute-cross |
| org.apache.ignite.internal.IgniteSchedulerImpl.readExternal                                                                                                                        | compute-cross |
| org.apache.ignite.internal.IgniteSchedulerImpl.writeExternal                                                                                                                       | compute-cross |
| org.apache.ignite.internal.IgniteServicesImpl.readExternal                                                                                                                         | compute-cross |
| org.apache.ignite.internal.IgniteServicesImpl.writeExternal                                                                                                                        | compute-cross |
| org.apache.ignite.internal.IgnitionEx.restart                                                                                                                                      | compute-cross |
| org.apache.ignite.internal.MarshallerMappingFileStore.fixLegacyFolder                                                                                                              | compute-cross |
| org.apache.ignite.internal.MarshallerMappingFileStore.writeMapping                                                                                                                 | compute-cross |
| org.apache.ignite.internal.SensitiveInfoTestLoggerProxy.readExternal                                                                                                               | compute-cross |
| org.apache.ignite.internal.SensitiveInfoTestLoggerProxy.readFromResource                                                                                                           | compute-cross |
| org.apache.ignite.internal.SensitiveInfoTestLoggerProxy.writeExternal                                                                                                              | compute-cross |
| org.apache.ignite.internal.UriDeploymentAbsentProcessorClassTest.getConfiguration                                                                                                  | compute-cross |
| org.apache.ignite.internal.benchmarks.model.IntValue.readExternal                                                                                                                  | compute-cross |
| org.apache.ignite.internal.benchmarks.model.IntValue.writeExternal                                                                                                                 | compute-cross |
| org.apache.ignite.internal.binary.BinaryArray.readExternal                                                                                                                         | compute-cross |
| org.apache.ignite.internal.binary.BinaryArray.writeExternal                                                                                                                        | compute-cross |
| org.apache.ignite.internal.binary.BinaryContext.classesInPackage                                                                                                                   | compute-cross |
| org.apache.ignite.internal.binary.BinaryEnumObjectImpl.readExternal                                                                                                                | compute-cross |
| org.apache.ignite.internal.binary.BinaryEnumObjectImpl.writeExternal                                                                                                               | compute-cross |
| org.apache.ignite.internal.binary.BinaryFieldMetadata.readExternal                                                                                                                 | compute-cross |
| org.apache.ignite.internal.binary.BinaryFieldMetadata.readFrom                                                                                                                     | compute-cross |
| org.apache.ignite.internal.binary.BinaryFieldMetadata.writeExternal                                                                                                                | compute-cross |
| org.apache.ignite.internal.binary.BinaryFieldMetadata.writeTo                                                                                                                      | compute-cross |
| org.apache.ignite.internal.binary.BinaryMarshaller.marshal0                                                                                                                        | compute-cross |
| org.apache.ignite.internal.binary.BinaryMarshaller.unmarshal0                                                                                                                      | compute-cross |
| org.apache.ignite.internal.binary.BinaryMarshallerSelfTest$SimpleExternalizable.readExternal                                                                                       | compute-cross |
| org.apache.ignite.internal.binary.BinaryMarshallerSelfTest$SimpleExternalizable.writeExternal                                                                                      | compute-cross |
| org.apache.ignite.internal.binary.BinaryMarshallerSelfTest$TestQueue.readExternal                                                                                                  | compute-cross |
| org.apache.ignite.internal.binary.BinaryMarshallerSelfTest$TestQueue.writeExternal                                                                                                 | compute-cross |
| org.apache.ignite.internal.binary.BinaryMetadata.readExternal                                                                                                                      | compute-cross |
| org.apache.ignite.internal.binary.BinaryMetadata.readFrom                                                                                                                          | compute-cross |
| org.apache.ignite.internal.binary.BinaryMetadata.writeExternal                                                                                                                     | compute-cross |
