|                                                           fullyQualifiedName                                                            |      pattern       |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testRemoveBatch                                                                       | unbound-collection |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testReplay                                                                            | unbound-collection |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testReplayWithNoPeers                                                                 | unbound-collection |
| org.apache.cassandra.batchlog.BatchlogManagerTest.testTruncatedReplay                                                                   | unbound-collection |
| org.apache.cassandra.batchlog.BatchlogTest.testSerialization                                                                            | unbound-collection |
| org.apache.cassandra.cache.AutoSavingCacheTest.doTestSerializeAndLoadKeyCache                                                           | unbound-collection |
| org.apache.cassandra.cache.CacheProviderTest.concurrentCase                                                                             | unbound-collection |
| org.apache.cassandra.cache.CacheProviderTest.createPartition                                                                            | unbound-collection |
| org.apache.cassandra.cache.CounterCacheKey.readCounterValue                                                                             | unbound-collection |
| org.apache.cassandra.concurrent.LongSharedExecutorPoolTest.testPromptnessOfExecution                                                    | unbound-collection |
| org.apache.cassandra.concurrent.SEPExecutor.addTask                                                                                     | unbound-collection |
| org.apache.cassandra.concurrent.SEPExecutor.shutdownNow                                                                                 | unbound-collection |
| org.apache.cassandra.concurrent.SharedExecutorPool.newExecutor                                                                          | unbound-collection |
| org.apache.cassandra.config.Config.splitCommaDelimited                                                                                  | unbound-collection |
| org.apache.cassandra.config.ConfigCompatabilityTest.<clinit>                                                                            | unbound-collection |
| org.apache.cassandra.config.ConfigCompatabilityTest.diff                                                                                | unbound-collection |
| org.apache.cassandra.config.ConfigCompatabilityTest.typeCheck                                                                           | unbound-collection |
| org.apache.cassandra.config.DatabaseDescriptor.disableHintsForDC                                                                        | unbound-collection |
| org.apache.cassandra.config.DatabaseDescriptor.tokensFromString                                                                         | unbound-collection |
| org.apache.cassandra.config.DatabaseDescriptorRefTest.checkViolations                                                                   | unbound-collection |
| org.apache.cassandra.config.EncryptionOptions$ConfigKey.asSet                                                                           | unbound-collection |
| org.apache.cassandra.config.Replacements.addReplacement                                                                                 | unbound-collection |
| org.apache.cassandra.config.Replacements.getReplacementsRecursive                                                                       | unbound-collection |
| org.apache.cassandra.config.YamlConfigurationLoader$PropertiesChecker.getProperty                                                       | unbound-collection |
| org.apache.cassandra.config.YamlConfigurationLoader.verifyReplacements                                                                  | unbound-collection |
| org.apache.cassandra.cql3.AbstractMarker.collectMarkerSpecification                                                                     | unbound-collection |
| org.apache.cassandra.cql3.BatchTests.sendBatch                                                                                          | unbound-collection |
| org.apache.cassandra.cql3.BatchTests.testOversizedBatch                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$Collection.generateMapCQLLiteral                                                                     | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$Collection.generateSetOrListCQLLiteral                                                               | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$Collection.toCQLLiteral                                                                              | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$Collection.toString                                                                                  | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$Raw$RawTuple.prepare                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$Raw$RawTuple.toString                                                                                | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$Tuple.toCQLLiteral                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$Tuple.toString                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.CQL3Type$UserDefined.toCQLLiteral                                                                             | unbound-collection |
| org.apache.cassandra.cql3.CQL3TypeLiteralTest.addNativeValue                                                                            | unbound-collection |
| org.apache.cassandra.cql3.CQL3TypeLiteralTest.generateCollectionValue                                                                   | unbound-collection |
| org.apache.cassandra.cql3.CQL3TypeLiteralTest.generateTupleValue                                                                        | unbound-collection |
| org.apache.cassandra.cql3.CQL3TypeLiteralTest.generateUserDefinedValue                                                                  | unbound-collection |
| org.apache.cassandra.cql3.CQL3TypeLiteralTest.randLetters                                                                               | unbound-collection |
| org.apache.cassandra.cql3.CQL3TypeLiteralTest.randString                                                                                | unbound-collection |
| org.apache.cassandra.cql3.CQL3TypeLiteralTest.randomTupleType                                                                           | unbound-collection |
| org.apache.cassandra.cql3.CQL3TypeLiteralTest.randomUserType                                                                            | unbound-collection |
| org.apache.cassandra.cql3.CQLTester$TupleValue.toCQLString                                                                              | unbound-collection |
| org.apache.cassandra.cql3.CQLTester$UserTypeValue.toCQLString                                                                           | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.assertRows                                                                                          | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.assertRowsIgnoringOrderInternal                                                                     | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.buildCassandraStressArgs                                                                            | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.buildCqlshArgs                                                                                      | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.buildNodetoolArgs                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.checkProtocolVersion                                                                                | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.createKeyspaceName                                                                                  | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.createTableName                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.createTypeName                                                                                      | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.createViewName                                                                                      | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.formatAllValues                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.formatForCQL                                                                                        | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.getRows                                                                                             | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.makeRowStrings                                                                                      | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.registerAggregate                                                                                   | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.registerFunction                                                                                    | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.reinitializeNetwork                                                                                 | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.replaceValues                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.CQLTester.serializeTuples                                                                                     | unbound-collection |
| org.apache.cassandra.cql3.CachingBench.genExtra                                                                                         | unbound-collection |
| org.apache.cassandra.cql3.CachingBench.testSetup                                                                                        | unbound-collection |
| org.apache.cassandra.cql3.ColumnSpecification.toString                                                                                  | unbound-collection |
| org.apache.cassandra.cql3.Constants$Adder.execute                                                                                       | unbound-collection |
| org.apache.cassandra.cql3.CorruptionTest.setup                                                                                          | unbound-collection |
| org.apache.cassandra.cql3.CqlBuilder.append                                                                                             | unbound-collection |
| org.apache.cassandra.cql3.CqlBuilder.appendQuotingIfNeeded                                                                              | unbound-collection |
| org.apache.cassandra.cql3.CqlBuilder.appendWithSeparators                                                                               | unbound-collection |
