|                                                                                  fullyQualifiedName                                                                                   |      pattern       |
| org.apache.ignite.cache.store.CacheStoreSessionListenerReadWriteThroughDisabledAbstractTest.testBatchLookup                                                                           | unbound-collection |
| org.apache.ignite.cache.store.CacheStoreSessionListenerReadWriteThroughDisabledAbstractTest.testBatchRemove                                                                           | unbound-collection |
| org.apache.ignite.cache.store.CacheStoreSessionListenerWriteBehindEnabledTest$TestCacheStoreSessionListener.onSessionEnd                                                              | unbound-collection |
| org.apache.ignite.cache.store.CacheStoreSessionListenerWriteBehindEnabledTest$TestCacheStoreSessionListener.onSessionStart                                                            | unbound-collection |
| org.apache.ignite.cache.store.IgniteCacheExpiryStoreLoadSelfTest.checkLoad                                                                                                            | unbound-collection |
| org.apache.ignite.cache.store.IgniteCacheExpiryStoreLoadSelfTest.testLoadAllWithExpiry                                                                                                | unbound-collection |
| org.apache.ignite.cache.store.jdbc.CacheAbstractJdbcStore$EntryMapping.escape                                                                                                         | unbound-collection |
| org.apache.ignite.cache.store.jdbc.CacheAbstractJdbcStore.<clinit>                                                                                                                    | unbound-collection |
| org.apache.ignite.cache.store.jdbc.CacheAbstractJdbcStore.getOrCreateCacheMappings                                                                                                    | unbound-collection |
| org.apache.ignite.cache.store.jdbc.CacheAbstractJdbcStore.loadAll                                                                                                                     | unbound-collection |
| org.apache.ignite.cache.store.jdbc.CacheAbstractJdbcStore.loadCache                                                                                                                   | unbound-collection |
| org.apache.ignite.cache.store.jdbc.CacheJdbcPojoWriteBehindStoreWithCoalescingTest.getCacheConfiguration                                                                              | unbound-collection |
| org.apache.ignite.cache.store.jdbc.CacheJdbcPojoWriteBehindStoreWithCoalescingTest.getConfiguration                                                                                   | unbound-collection |
| org.apache.ignite.cache.store.jdbc.model.Logo.toString                                                                                                                                | unbound-collection |
| org.apache.ignite.cache.store.jdbc.model.LogoKey.toString                                                                                                                             | unbound-collection |
| org.apache.ignite.cache.websession.WebSession.getAttribute                                                                                                                            | unbound-collection |
| org.apache.ignite.cache.websession.WebSession.removeAttribute                                                                                                                         | unbound-collection |
| org.apache.ignite.cache.websession.WebSession.setAttribute                                                                                                                            | unbound-collection |
| org.apache.ignite.cache.websession.WebSessionV2.attributeNames                                                                                                                        | unbound-collection |
| org.apache.ignite.cdc.CdcCacheVersionTest.parameters                                                                                                                                  | unbound-collection |
| org.apache.ignite.cdc.CdcSelfTest.parameters                                                                                                                                          | unbound-collection |
| org.apache.ignite.cdc.WalForCdcTest.parameters                                                                                                                                        | unbound-collection |
| org.apache.ignite.cdc.WalRolloverOnStopTest.testWallRollover                                                                                                                          | unbound-collection |
| org.apache.ignite.client.ClientCacheConfigurationTest.testDifferentSizeCacheConfiguration                                                                                             | unbound-collection |
| org.apache.ignite.client.LocalIgniteCluster.failNode                                                                                                                                  | unbound-collection |
| org.apache.ignite.client.LocalIgniteCluster.restoreNode                                                                                                                               | unbound-collection |
| org.apache.ignite.client.ReliabilityTest.testData                                                                                                                                     | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.finish                                                                                                                                 | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.generate                                                                                                                               | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.generateAndWrite                                                                                                                       | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.processFile                                                                                                                            | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.readField                                                                                                                              | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.returnFalseIfFailed                                                                                                                    | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.returnFalseIfReadFailed                                                                                                                | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.start                                                                                                                                  | unbound-collection |
| org.apache.ignite.codegen.MessageCodeGenerator.writeField                                                                                                                             | unbound-collection |
| org.apache.ignite.codegen.SystemViewRowAttributeWalkerGenerator.addImport                                                                                                             | unbound-collection |
| org.apache.ignite.codegen.SystemViewRowAttributeWalkerGenerator.addLicenseHeader                                                                                                      | unbound-collection |
| org.apache.ignite.codegen.SystemViewRowAttributeWalkerGenerator.forEachMethod                                                                                                         | unbound-collection |
| org.apache.ignite.codegen.SystemViewRowAttributeWalkerGenerator.generate                                                                                                              | unbound-collection |
| org.apache.ignite.common.AbstractEventSecurityContextTest.sendRestRequest                                                                                                             | unbound-collection |
| org.apache.ignite.common.CacheCreateDestroyEventSecurityContextTest.sendRestRequest                                                                                                   | unbound-collection |
| org.apache.ignite.common.CacheEventSecurityContextTest.checkEvents                                                                                                                    | unbound-collection |
| org.apache.ignite.common.CacheEventSecurityContextTest.data                                                                                                                           | unbound-collection |
| org.apache.ignite.common.CacheEventSecurityContextTest.sendRestRequest                                                                                                                | unbound-collection |
| org.apache.ignite.common.ComputeTaskRemoteSecurityContextTest.data                                                                                                                    | unbound-collection |
| org.apache.ignite.compatibility.clients.AbstractClientCompatibilityTest.getDependencies                                                                                               | unbound-collection |
| org.apache.ignite.compatibility.persistence.FoldersReuseCompatibilityTest.getAllNodeIndexesInFolder                                                                                   | unbound-collection |
| org.apache.ignite.compatibility.persistence.IndexAbstractCompatibilityTest.getDependencies                                                                                            | unbound-collection |
| org.apache.ignite.compatibility.persistence.IndexAbstractCompatibilityTest.getExcluded                                                                                                | unbound-collection |
| org.apache.ignite.compatibility.testframework.junits.IgniteCompatibilityAbstractTest.getDependencies                                                                                  | unbound-collection |
| org.apache.ignite.compatibility.testframework.junits.IgniteCompatibilityAbstractTest.getExcluded                                                                                      | unbound-collection |
