|                                                              dimensionalCodeFragment                                                              |    pattern    |
| org.apache.cassandra.cql3.EmptyValuesTest.verify                                                                                                  | compute-cross |
| org.apache.cassandra.cql3.KeyCacheCqlTest.insertData                                                                                              | compute-cross |
| org.apache.cassandra.cql3.KeyCacheCqlTest.prepareTable                                                                                            | compute-cross |
| org.apache.cassandra.cql3.KeyCacheCqlTest.testSliceQueries                                                                                        | compute-cross |
| org.apache.cassandra.cql3.Operator.readFrom                                                                                                       | compute-cross |
| org.apache.cassandra.cql3.Operator.writeTo                                                                                                        | compute-cross |
| org.apache.cassandra.cql3.PagingTest.setup                                                                                                        | compute-cross |
| org.apache.cassandra.cql3.PreparedStatementsTest.testMetadataFlagsWithLWTs                                                                        | compute-cross |
| org.apache.cassandra.cql3.ReservedKeywords.getFromResource                                                                                        | compute-cross |
| org.apache.cassandra.cql3.TombstonesWithIndexedSSTableTest.testTombstoneBoundariesInIndex                                                         | compute-cross |
| org.apache.cassandra.cql3.functions.JavaBasedUDFunction$EcjCompilationUnit.findType                                                               | compute-cross |
| org.apache.cassandra.cql3.functions.JavaBasedUDFunction.<clinit>                                                                                  | compute-cross |
| org.apache.cassandra.cql3.functions.types.TypeCodec$DurationCodec.deserialize                                                                     | compute-cross |
| org.apache.cassandra.cql3.functions.types.TypeCodec$DurationCodec.serialize                                                                       | compute-cross |
| org.apache.cassandra.cql3.selection.AbstractFunctionSelector$AbstractFunctionSelectorDeserializer.deserialize                                     | compute-cross |
| org.apache.cassandra.cql3.selection.AbstractFunctionSelector.serialize                                                                            | compute-cross |
| org.apache.cassandra.cql3.selection.ElementsSelector$ElementSelector.serialize                                                                    | compute-cross |
| org.apache.cassandra.cql3.selection.ElementsSelector$SliceSelector.serialize                                                                      | compute-cross |
| org.apache.cassandra.cql3.selection.FieldSelector.serialize                                                                                       | compute-cross |
| org.apache.cassandra.cql3.selection.ListSelector.serialize                                                                                        | compute-cross |
| org.apache.cassandra.cql3.selection.MapSelector.serialize                                                                                         | compute-cross |
| org.apache.cassandra.cql3.selection.Selector$SelectorDeserializer.readType                                                                        | compute-cross |
| org.apache.cassandra.cql3.selection.Selector$Serializer.deserialize                                                                               | compute-cross |
| org.apache.cassandra.cql3.selection.Selector$Serializer.serialize                                                                                 | compute-cross |
| org.apache.cassandra.cql3.selection.Selector.writeType                                                                                            | compute-cross |
| org.apache.cassandra.cql3.selection.SelectorSerializationTest.checkSerialization                                                                  | compute-cross |
| org.apache.cassandra.cql3.selection.SelectorSerializationTest.testSerDes                                                                          | compute-cross |
| org.apache.cassandra.cql3.selection.SetSelector.serialize                                                                                         | compute-cross |
| org.apache.cassandra.cql3.selection.SimpleSelector.serialize                                                                                      | compute-cross |
| org.apache.cassandra.cql3.selection.TermSelector.serialize                                                                                        | compute-cross |
| org.apache.cassandra.cql3.selection.TupleSelector.serialize                                                                                       | compute-cross |
| org.apache.cassandra.cql3.selection.UserTypeSelector.serialize                                                                                    | compute-cross |
| org.apache.cassandra.cql3.selection.WritetimeOrTTLSelector.serialize                                                                              | compute-cross |
| org.apache.cassandra.cql3.statements.DescribeStatement.getOffset                                                                                  | compute-cross |
| org.apache.cassandra.cql3.statements.DescribeStatement.getPagingState                                                                             | compute-cross |
| org.apache.cassandra.cql3.validation.entities.UFVerifierTest.readClass                                                                            | compute-cross |
| org.apache.cassandra.cql3.validation.operations.CreateTest.duration                                                                               | compute-cross |
| org.apache.cassandra.cql3.validation.operations.CreateTest.testCreateTableWithDurationColumns                                                     | compute-cross |
| org.apache.cassandra.cql3.validation.operations.DropRecreateAndRestoreTest.testCreateWithIdRestore                                                | compute-cross |
| org.apache.cassandra.cql3.validation.operations.TTLTest.copyFile                                                                                  | compute-cross |
| org.apache.cassandra.cql3.validation.operations.TTLTest.copySSTablesToTableDir                                                                    | compute-cross |
| org.apache.cassandra.cql3.validation.operations.TTLTest.testRecoverOverflowedExpirationWithScrub                                                  | compute-cross |
| org.apache.cassandra.db.CleanupTransientTest.testCleanup                                                                                          | compute-cross |
| org.apache.cassandra.db.Clustering$Serializer.deserialize                                                                                         | compute-cross |
| org.apache.cassandra.db.Clustering$Serializer.serialize                                                                                           | compute-cross |
| org.apache.cassandra.db.Clustering$Serializer.skip                                                                                                | compute-cross |
| org.apache.cassandra.db.ClusteringBoundOrBoundary$Serializer.deserialize                                                                          | compute-cross |
| org.apache.cassandra.db.ClusteringBoundOrBoundary$Serializer.deserializeValues                                                                    | compute-cross |
| org.apache.cassandra.db.ClusteringBoundOrBoundary$Serializer.serialize                                                                            | compute-cross |
| org.apache.cassandra.db.ClusteringBoundOrBoundary$Serializer.skipValues                                                                           | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.compareNextTo                                                                               | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.deserializeAll                                                                              | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.deserializeNextBound                                                                        | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.deserializeNextClustering                                                                   | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.deserializeOne                                                                              | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.hasComponent                                                                                | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.prepare                                                                                     | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Deserializer.skipNext                                                                                    | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Serializer.deserialize                                                                                   | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Serializer.deserializeValuesWithoutSize                                                                  | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Serializer.serialize                                                                                     | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Serializer.serializeValuesWithoutSize                                                                    | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Serializer.skip                                                                                          | compute-cross |
| org.apache.cassandra.db.ClusteringPrefix$Serializer.skipValuesWithoutSize                                                                         | compute-cross |
| org.apache.cassandra.db.ColumnFamilyStore.createEphemeralSnapshotMarkerFile                                                                       | compute-cross |
| org.apache.cassandra.db.ColumnFamilyStore.writeSnapshotManifest                                                                                   | compute-cross |
| org.apache.cassandra.db.ColumnFamilyStoreTest.testDataDirectoriesOfColumnFamily                                                                   | compute-cross |
| org.apache.cassandra.db.ColumnFamilyStoreTest.testSnapshotSize                                                                                    | compute-cross |
| org.apache.cassandra.db.ColumnFamilyStoreTest.testSnapshotWithoutFlushWithSecondaryIndexes                                                        | compute-cross |
| org.apache.cassandra.db.ColumnIndex.add                                                                                                           | compute-cross |
| org.apache.cassandra.db.ColumnIndex.addIndexBlock                                                                                                 | compute-cross |
| org.apache.cassandra.db.ColumnIndex.buildRowIndex                                                                                                 | compute-cross |
| org.apache.cassandra.db.ColumnIndex.finish                                                                                                        | compute-cross |
| org.apache.cassandra.db.ColumnIndex.writePartitionHeader                                                                                          | compute-cross |
| org.apache.cassandra.db.Columns$Serializer.deserialize                                                                                            | compute-cross |
| org.apache.cassandra.db.Columns$Serializer.deserializeLargeSubset                                                                                 | compute-cross |
| org.apache.cassandra.db.Columns$Serializer.deserializeSubset                                                                                      | compute-cross |
| org.apache.cassandra.db.Columns$Serializer.serialize                                                                                              | compute-cross |
| org.apache.cassandra.db.Columns$Serializer.serializeLargeSubset                                                                                   | compute-cross |
| org.apache.cassandra.db.Columns$Serializer.serializeSubset                                                                                        | compute-cross |
| org.apache.cassandra.db.ColumnsTest.testDeserializeCorruption                                                                                     | compute-cross |
| org.apache.cassandra.db.ColumnsTest.testSerialize                                                                                                 | compute-cross |
| org.apache.cassandra.db.ColumnsTest.testSerializeHugeSubset                                                                                       | compute-cross |
| org.apache.cassandra.db.ColumnsTest.testSerializeSmallSubset                                                                                      | compute-cross |
| org.apache.cassandra.db.ColumnsTest.testSerializeSubset                                                                                           | compute-cross |
| org.apache.cassandra.db.CounterMutation$CounterMutationSerializer.deserialize                                                                     | compute-cross |
| org.apache.cassandra.db.CounterMutation$CounterMutationSerializer.serialize                                                                       | compute-cross |
| org.apache.cassandra.db.DataRange$Serializer.deserialize                                                                                          | compute-cross |
| org.apache.cassandra.db.DataRange$Serializer.serialize                                                                                            | compute-cross |
| org.apache.cassandra.db.DeletionTime$Serializer.deserialize                                                                                       | compute-cross |
| org.apache.cassandra.db.DeletionTime$Serializer.serialize                                                                                         | compute-cross |
| org.apache.cassandra.db.DeletionTime$Serializer.skip                                                                                              | compute-cross |
| org.apache.cassandra.db.Directories.getTrueAllocatedSizeIn                                                                                        | compute-cross |
| org.apache.cassandra.db.Directories.getWriteableLocationToLoadFile                                                                                | compute-cross |
| org.apache.cassandra.db.Directories.maybeLoadManifest                                                                                             | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.beforeTest                                                                                                | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.createFakeSnapshot                                                                                        | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.createFile                                                                                                | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testDataDirectoriesIterator                                                                               | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testDirectoriesOldTableSymlink                                                                            | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testDirectoriesSymlinks                                                                                   | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testDirectoriesSymlinksHelper                                                                             | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testDirectoriesTableSymlink                                                                               | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testGetLocationWithSymlinks                                                                               | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testListSnapshotDirsByTag                                                                                 | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testListSnapshots                                                                                         | compute-cross |
| org.apache.cassandra.db.DirectoriesTest.testMaybeManifestLoading                                                                                  | compute-cross |
| org.apache.cassandra.db.ImportTest.basicImportMultiDirTest                                                                                        | compute-cross |
| org.apache.cassandra.db.ImportTest.importBadDirectoryTest                                                                                         | compute-cross |
| org.apache.cassandra.db.ImportTest.importClearRepairedTest                                                                                        | compute-cross |
| org.apache.cassandra.db.ImportTest.importResetLevelTest                                                                                           | compute-cross |
| org.apache.cassandra.db.ImportTest.moveToBackupDir                                                                                                | compute-cross |
| org.apache.cassandra.db.ImportTest.prepareBasicImporting                                                                                          | compute-cross |
| org.apache.cassandra.db.ImportTest.testCorruptHelper                                                                                              | compute-cross |
| org.apache.cassandra.db.ImportTest.testGetCorrectDirectory                                                                                        | compute-cross |
| org.apache.cassandra.db.ImportTest.testImportInvalidateCache                                                                                      | compute-cross |
| org.apache.cassandra.db.ImportTest.testImportOutOfRange                                                                                           | compute-cross |
| org.apache.cassandra.db.ImportTest.testImportOutOfRangeExtendedVerify                                                                             | compute-cross |
| org.apache.cassandra.db.ImportTest.testRefreshCorrupt                                                                                             | compute-cross |
| org.apache.cassandra.db.KeyCacheTest.testKeyCacheLoad                                                                                             | compute-cross |
| org.apache.cassandra.db.KeyCacheTest.testKeyCacheLoadCacheLoadTimeExceedingLimit                                                                  | compute-cross |
| org.apache.cassandra.db.Keyspace.snapshot                                                                                                         | compute-cross |
| org.apache.cassandra.db.KeyspaceTest.testSnapshotCreation                                                                                         | compute-cross |
| org.apache.cassandra.db.MmapFileTest.testMmapFile                                                                                                 | compute-cross |
| org.apache.cassandra.db.Mutation$MutationSerializer.deserialize                                                                                   | compute-cross |
| org.apache.cassandra.db.Mutation$MutationSerializer.serialize                                                                                     | compute-cross |
| org.apache.cassandra.db.NameSortTest.testNameSort                                                                                                 | compute-cross |
| org.apache.cassandra.db.NameSortTest.testNameSort1                                                                                                | compute-cross |
| org.apache.cassandra.db.NameSortTest.testNameSort10                                                                                               | compute-cross |
| org.apache.cassandra.db.NameSortTest.testNameSort100                                                                                              | compute-cross |
| org.apache.cassandra.db.PartitionPosition$RowPositionSerializer.deserialize                                                                       | compute-cross |
| org.apache.cassandra.db.PartitionPosition$RowPositionSerializer.serialize                                                                         | compute-cross |
| org.apache.cassandra.db.PartitionRangeReadCommand$Deserializer.deserialize                                                                        | compute-cross |
| org.apache.cassandra.db.PartitionRangeReadCommand.serializeSelection                                                                              | compute-cross |
| org.apache.cassandra.db.PartitionTest.testManyColumns                                                                                             | compute-cross |
| org.apache.cassandra.db.PartitionTest.testSingleColumn                                                                                            | compute-cross |
| org.apache.cassandra.db.ReadCommand$Serializer.deserialize                                                                                        | compute-cross |
| org.apache.cassandra.db.ReadCommand$Serializer.deserializeIndexMetadata                                                                           | compute-cross |
| org.apache.cassandra.db.ReadCommand$Serializer.serialize                                                                                          | compute-cross |
| org.apache.cassandra.db.ReadCommandTest.mutateRepaired                                                                                            | compute-cross |
| org.apache.cassandra.db.ReadCommandTest.testCountDeletedRows                                                                                      | compute-cross |
| org.apache.cassandra.db.ReadCommandTest.testCountWithNoDeletedRow                                                                                 | compute-cross |
| org.apache.cassandra.db.ReadCommandTest.testSerializer                                                                                            | compute-cross |
| org.apache.cassandra.db.ReadCommandTest.testSinglePartitionGroupMerge                                                                             | compute-cross |
| org.apache.cassandra.db.ReadMessageTest.serializeAndDeserializeReadMessage                                                                        | compute-cross |
| org.apache.cassandra.db.ReadMessageTest.testMakeReadMessage                                                                                       | compute-cross |
| org.apache.cassandra.db.ReadMessageTest.testNoCommitLog                                                                                           | compute-cross |
| org.apache.cassandra.db.ReadResponse$DataResponse.makeIterator                                                                                    | compute-cross |
| org.apache.cassandra.db.ReadResponse$LocalDataResponse.build                                                                                      | compute-cross |
| org.apache.cassandra.db.ReadResponse$Serializer.deserialize                                                                                       | compute-cross |
| org.apache.cassandra.db.ReadResponse$Serializer.serialize                                                                                         | compute-cross |
| org.apache.cassandra.db.ReadResponseTest.roundTripSerialization                                                                                   | compute-cross |
| org.apache.cassandra.db.RecoveryManagerFlushedTest.setUp                                                                                          | compute-cross |
| org.apache.cassandra.db.RecoveryManagerFlushedTest.testWithFlush                                                                                  | compute-cross |
| org.apache.cassandra.db.RecoveryManagerMissingHeaderTest.setUp                                                                                    | compute-cross |
| org.apache.cassandra.db.RecoveryManagerMissingHeaderTest.testMissingHeader                                                                        | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTest.setUp                                                                                                 | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTest.testNothingToRecover                                                                                  | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTest.testOne                                                                                               | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTest.testRecoverBlocksOnBytesOutstanding                                                                   | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTest.testRecoverCounter                                                                                    | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTest.testRecoverPIT                                                                                        | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTest.testRecoverPITStatic                                                                                  | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTest.testRecoverPITUnordered                                                                               | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTruncateTest.setUp                                                                                         | compute-cross |
| org.apache.cassandra.db.RecoveryManagerTruncateTest.testTruncate                                                                                  | compute-cross |
| org.apache.cassandra.db.RepairedDataTombstonesTest.compactionDropExpiredSSTableTest                                                               | compute-cross |
| org.apache.cassandra.db.RepairedDataTombstonesTest.compactionTest                                                                                 | compute-cross |
| org.apache.cassandra.db.RepairedDataTombstonesTest.readTest                                                                                       | compute-cross |
| org.apache.cassandra.db.RepairedDataTombstonesTest.readTestOldUnrepaired                                                                          | compute-cross |
| org.apache.cassandra.db.RepairedDataTombstonesTest.readTestPartitionTombstones                                                                    | compute-cross |
| org.apache.cassandra.db.RepairedDataTombstonesTest.readTestRowTombstones                                                                          | compute-cross |
| org.apache.cassandra.db.RepairedDataTombstonesTest.repair                                                                                         | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$FileIndexInfoRetriever.close                                                                                | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$FileIndexInfoRetriever.columnsIndex                                                                         | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$IndexSerializer.deserialize                                                                                 | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$IndexedEntry.serialize                                                                                      | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$IndexedEntry.serializeForCache                                                                              | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$IndexedEntry.skipForCache                                                                                   | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.deserialize                                                                                      | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.deserializeForCache                                                                              | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.deserializePositionAndSkip                                                                       | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.readPosition                                                                                     | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.serialize                                                                                        | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.serializeForCache                                                                                | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.serializeOffsets                                                                                 | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.skip                                                                                             | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.skipForCache                                                                                     | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$Serializer.skipPromotedIndex                                                                                | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$ShallowIndexedEntry.serialize                                                                               | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$ShallowIndexedEntry.serializeForCache                                                                       | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$ShallowIndexedEntry.skipForCache                                                                            | compute-cross |
| org.apache.cassandra.db.RowIndexEntry$ShallowInfoRetriever.fetchIndex                                                                             | compute-cross |
| org.apache.cassandra.db.RowIndexEntry.serialize                                                                                                   | compute-cross |
| org.apache.cassandra.db.RowIndexEntry.serializeForCache                                                                                           | compute-cross |
| org.apache.cassandra.db.RowIndexEntryTest$ColumnIndex$Builder.add                                                                                 | compute-cross |
| org.apache.cassandra.db.RowIndexEntryTest$ColumnIndex$Builder.build                                                                               | compute-cross |
| org.apache.cassandra.db.RowIndexEntryTest$ColumnIndex$Builder.close                                                                               | compute-cross |
| org.apache.cassandra.db.RowIndexEntryTest$ColumnIndex$Builder.writePartitionHeader                                                                | compute-cross |
| org.apache.cassandra.db.RowIndexEntryTest$ColumnIndex.writeAndBuildIndex                                                                          | compute-cross |
| org.apache.cassandra.db.RowIndexEntryTest$DoubleSerializer.build                                                                                  | compute-cross |
